08-11-2022 21:34:37,6,Game Over
08-11-2022 21:35:16,6,Game Over
08-11-2022 22:16:11,7,Game Over
08-11-2022 23:02:51,7,Game Over
08-11-2022 23:07:22,8,Game Over
08-11-2022 23:07:54,4,Game Over
08-11-2022 23:47:44,16,Game Over
08-11-2022 23:58:28,21,Game Clear
08-11-2022 23:58:30,0,Game Clear
08-11-2022 23:59:02,0,Game Clear
09-11-2022 00:06:49,36,Game Clear
09-11-2022 10:11:26,28,Game Clear
09-11-2022 13:45:38,25,Game Clear
09-11-2022 13:50:06,32,Game Over
10-11-2022 09:25:41,26,Game Clear
12-11-2022 12:36:06,23,Game Clear
12-11-2022 12:42:16,11,Game Over
12-11-2022 15:55:49,23,Game Clear
13-11-2022 22:24:24,20,Game Clear
13-11-2022 22:25:04,7,Game Over
13-11-2022 22:25:36,6,Game Over
14-11-2022 14:09:21,18,Game Over
14-11-2022 14:18:23,22,Game Clear
